[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3932995538.74201,08/16/2024,6:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//ab,SAMPLE_COMMENT
INFO,62.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.26,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3932995570.2686,1.99996256828308,499.950347900391,0.226874277650574,0.000143385796812874,1,2,14.0008964538574,5.00478783592712,32.7900014817715,292.564698455844,44.1211725118084,1000,-0.00164630832999497,,,,,,,,,,,,,,,,,,,,,1.99996256828308,1.99996256828308,499.950347900391,499.950347900391,48.9049331912359,5.81094249099276,2.33043909072876,28,1,0,0,1,0.327224731445313,27.8592376708984,1,1,1,1.99996256828308,0,1.99996256828308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932995673.04718,2.4997820854187,499.950347900391,0.235154331216932,0.000112981895366019,1,2,14.0008964538574,5.00467825991134,32.7900014817715,303.249167192645,45.6274746722892,1000,-0.0017860153669717,,,,,,,,,,,,,,,,,,,,,2.49976825714111,2.49979591369629,499.950347900391,499.950347900391,48.845920238034,5.81096315677875,2.61232304573059,28,1,0,0,1,0.327377319335937,28.3479976654053,1,1,1,2.49976825714111,0,2.4997820854187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932995775.02506,2.99997460842133,499.950347900391,0.24321253366444,0.00023522949987407,1,2,14.0008964538574,5.00472962751315,32.8000001609325,313.646218426586,47.1860021827475,1000,-0.00185164171794715,,,,,,,,,,,,,,,,,,,,,2.99992394447327,3.00002527236938,499.950347900391,499.950347900391,48.8881281780725,5.81108027051003,2.84267711639404,28,1,0,0,1,0.325546264648438,28.8367557525635,1,1,1,2.99992394447327,0,2.99997460842133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932995876.49345,3.49980008602142,499.950347900391,0.249087410478033,0.000149641699371706,1,2,14.0008964538574,5.00468414307753,32.7900014817715,321.21847219559,48.324532947213,1000,-0.00189687285884336,,,,,,,,,,,,,,,,,,,,,3.4996771812439,3.49992299079895,499.950347900391,499.950347900391,48.8353682530244,5.81119362520994,3.04881119728088,28,1,0,0,1,0.3265380859375,29.3255138397217,1,1,1,3.49992299079895,0,3.49980008602142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932995976.45114,4.00022482872009,499.950347900391,0.253842030727387,0.000160155212427512,1,2,14.0008964538574,5.00468614948026,32.7900014817715,327.35198405053,49.2352372395346,1000,-0.00194220286440293,,,,,,,,,,,,,,,,,,,,,3.99991178512573,4.00053787231445,499.950347900391,499.950347900391,48.8486559378513,5.81093407341179,3.22388577461243,28,1,0,0,1,0.326690673828125,29.3255138397217,1,1,1,3.99991178512573,0,4.00022482872009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932996076.60444,4.49974632263184,499.950347900391,0.259713104731094,0.000158359736633918,1,2,14.0008964538574,5.00467856035053,32.7900014817715,334.922655420176,50.373218173567,1000,-0.00198764149790352,,,,,,,,,,,,,,,,,,,,,4.49948263168335,4.50001001358032,499.950347900391,499.950347900391,48.7501707444282,5.81110478909463,3.37597918510437,28,1,0,0,1,0.326080322265625,28.3479976654053,1,1,1,4.49948263168335,0,4.49974632263184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932996174.92589,5.00015664100647,499.950347900391,0.263667209399271,0.000189021081277505,1,2,14.0008964538574,5.00466391708713,32.7900014817715,340.021675423514,51.1320606055336,1000,-0.00202401769456405,,,,,,,,,,,,,,,,,,,,,4.99992418289185,5.00038909912109,499.950347900391,499.950347900391,48.7915970559475,5.81118289623062,3.51087665557861,28,1,0,0,1,0.327987670898438,28.8367557525635,1,1,1,5.00038909912109,0,5.00015664100647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932996272.64229,5.50052690505981,499.950347900391,0.261755211970955,0.000142321567808375,1,2,14.0008964538574,5.00466092958727,32.7900014817715,337.557633050447,50.7490666496739,1000,-0.00201878489851734,,,,,,,,,,,,,,,,,,,,,5.50012731552124,5.50092649459839,499.950347900391,499.950347900391,48.7693206431494,5.81111641453982,3.63146257400513,28,1,0,0,1,0.326766967773438,28.8367557525635,1,1,1,5.50012731552124,0,5.50052690505981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932996370.6475,6.00013184547424,499.950347900391,0.255074863610001,0.000136246996453844,1,2,14.0008964538574,5.0046491942803,32.7900014817715,328.943378119985,49.4426569883,1000,-0.00197585175044793,,,,,,,,,,,,,,,,,,,,,5.99989748001099,6.0003662109375,499.950347900391,499.950347900391,48.8076204405917,5.81109030509747,3.73609733581543,28,1,0,0,1,0.326461791992188,29.3255138397217,1,1,1,5.99989748001099,0,6.00013184547424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932996468.63357,6.50029063224792,499.950347900391,0.243399889728791,0.000146336792565088,1,2,14.0008964538574,5.00466912803475,32.7900014817715,313.890154223733,47.1734173723591,1000,-0.00189044116739124,,,,,,,,,,,,,,,,,,,,,6.49995183944702,6.50062942504883,499.950347900391,499.950347900391,48.8881281780725,5.81128382613053,3.84528303146362,28,1,0,0,1,0.3253173828125,28.3479976654053,1,1,1,6.49995183944702,0,6.50029063224792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
