[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3932967562.29601,08/16/2024,10:59 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//c,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3932967992.11833,2.00006628036499,1128.19934082031,0.376385372225167,0.000673019558464807,1,2,14.0008964538574,4.99474354970621,35.2700017392635,483.978963328729,73.1644879983411,1000,-0.00259705066419949,,,,,,,,,,,,,,,,,,,,,2.00006628036499,2.00006628036499,1128.19934082031,1128.19934082031,49.1519278033129,5.83293522111651,2.40363192558289,28,1,0,0,1,0.327606201171875,26.3929634094238,1,6,1,2.00006628036499,0,2.00006628036499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932967993.74777,2.00002014636993,1293.27239990234,0.500281587106418,0.00376131936755134,1,2,14.0008964538574,4.99482592290281,35.2700017392635,643.283779993889,97.3973025032929,1000,-0.00333769297990592,,,,,,,,,,,,,,,,,,,,,1.9999406337738,2.00009965896606,1148.26379394531,1438.28100585938,49.1828021298225,5.83308886408525,2.41154766082764,28,1,0,0,1,0.324478149414063,26.3929634094238,1,6,1,1.9999406337738,0,2.00002014636993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932967996.29462,1.99992877244949,1548.23266601562,0.573674807348564,0.00373443421196316,1,2,14.0008964538574,4.99485721820044,35.2700017392635,737.622582504324,111.938640760382,1000,-0.00363131245893397,,,,,,,,,,,,,,,,,,,,,1.99991691112518,1.9999406337738,1458.32067871094,1638.14465332031,49.1765491016687,5.83342744545991,2.4015064239502,28,1,0,0,1,0.325088500976562,26.3929634094238,1,6,1,1.99991691112518,0,1.99992877244949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932967998.56015,1.99983859062195,1778.04412841797,0.646942642329982,0.00372253071374706,1,2,14.0008964538574,4.99485721820044,35.2700017392635,831.793794714355,126.45933054243,1000,-0.00392050241491137,,,,,,,,,,,,,,,,,,,,,1.99971568584442,1.99996149539948,1658.14697265625,1897.94128417969,49.196480628909,5.83342744545991,2.40890622138977,28,1,0,0,1,0.324630737304687,26.881721496582,1,6,1,1.99996149539948,0,1.99983859062195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968005.10825,2.00005948543549,1999.81994628906,0.741705070294047,8.55180287462323E-5,1,2,14.0008964538574,4.99486573814038,35.2700017392635,953.627311105671,145.031681105548,1000,-0.00445694667000431,,,,,,,,,,,,,,,,,,,,,2.00002646446228,2.00009250640869,1999.81372070313,1999.826171875,49.2117223850341,5.83325388800984,2.39991092681885,28,1,0,0,1,0.32470703125,26.881721496582,1,2,1,2.00002646446228,0,2.00005948543549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968006.39872,2.00000780820847,2048.98284912109,0.747957412396221,0.00163497747963904,1,2,14.0008964538574,4.99489153715641,35.2700017392635,961.669808388997,146.275687852458,1000,-0.00447865195817658,,,,,,,,,,,,,,,,,,,,,1.99998915195465,2.00002646446228,1999.78894042969,2098.1767578125,49.1851470153802,5.83302915511714,2.40986895561218,28,1,0,0,1,0.326614379882812,26.881721496582,1,2,1,1.99998915195465,0,2.00000780820847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968008.43153,2.00007909536362,2203.2919921875,0.808073511451996,0.00372253067957863,1,2,14.0008964538574,4.99482812512933,35.2700017392635,1038.89627445584,158.333283440542,1000,-0.00460219497806491,,,,,,,,,,,,,,,,,,,,,1.99998915195465,2.00016903877258,2118.22875976562,2288.35522460938,49.2820689517648,5.8330670393727,2.40033984184265,28,1,0,0,1,0.325393676757812,27.8592376708984,1,6,1,2.00016903877258,0,2.00007909536362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968010.63778,1.99988716840744,2423.29455566406,0.881221863136917,0.00374088769487865,1,2,14.0008964538574,4.99482812512933,35.2700017392635,1132.91254713356,172.833981161595,1000,-0.00488795035120016,,,,,,,,,,,,,,,,,,,,,1.99986326694489,1.99991106987,2368.30322265625,2478.28588867187,49.1902276007552,5.8330670393727,2.40998458862305,28,1,0,0,1,0.325164794921875,26.881721496582,1,6,1,1.99986326694489,0,1.99988716840744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968012.27381,2.00009018182755,2583.12841796875,0.953701513291046,0.00383376664938429,1,2,14.0008964538574,4.99492337963278,35.2700017392635,1226.15305782196,186.884609453553,1000,-0.00542215749375362,,,,,,,,,,,,,,,,,,,,,1.99986326694489,2.00031709671021,2488.15698242187,2678.09985351562,49.1585716457264,5.83267569591529,2.39995813369751,27,1,68,0,0,0.325241088867188,27.3704795837402,1,6,1,2.00031709671021,0,2.00009018182755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932968014.29137,2.00025427341461,2783.18420410156,1.02627953123134,0.0036975007685974,1,2,14.0008964538574,4.99477551499993,35.2700017392635,1319.47055034076,200.718544523093,1000,-0.00613057485914289,,,,,,,,,,,,,,,,,,,,,2.00019145011902,2.00031709671021,2688.11962890625,2878.24877929687,49.2719077810148,5.83324140831598,2.40938663482666,28,1,0,0,1,0.323715209960937,26.881721496582,1,6,1,2.00019145011902,0,2.00025427341461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
