[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3932972887.89995,08/16/2024,12:28 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//c,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3932972908.34225,1.99962031841278,499.900726318359,0.173523567464968,2.24895396895138E-5,1,2,14.0008964538574,5.00491693882768,34.9799990653992,223.710323067875,34.1531760276067,100,-0.000943886768672082,,,,,,,,,,,,,,,,,,,,,1.99962031841278,1.99962031841278,499.900726318359,499.900726318359,49.1828021298225,5.83345512478729,2.35728693008423,28,1,0,0,1,0.326614379882812,26.881721496582,1,1,1,1.99955725669861,0,1.99962031841278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973011.7738,2.49972605705261,499.900726318359,0.175199782234369,2.88499681967465E-5,1,2,14.0008964538574,5.00484198877482,34.9799990653992,225.863195741937,34.5039791455513,100,-0.000936228870849668,,,,,,,,,,,,,,,,,,,,,2.49971389770508,2.49973821640015,499.900726318359,499.900726318359,49.2296998409764,5.83407985479639,2.63665628433228,28,1,0,0,1,0.326995849609375,27.3704795837402,1,1,1,2.49971389770508,0,2.49972605705261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973112.31965,3.0001540184021,499.900726318359,0.17712908802906,1.93798335434318E-5,1,2,14.0008964538574,5.00479569110071,34.9799990653992,228.347388740656,34.8839437305434,100,-0.000946184673793112,,,,,,,,,,,,,,,,,,,,,3.00010204315186,3.00020599365234,499.900726318359,499.900726318359,49.1816296870437,5.83426296365672,2.875892162323,28,1,0,0,1,0.327072143554687,26.881721496582,1,1,1,3.00010204315186,0,3.0001540184021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973213.3051,3.50010848045349,499.900726318359,0.179466452011931,2.70877669826111E-5,1,2,14.0008964538574,5.00477360790569,34.9799990653992,231.359324738141,35.3432329507065,100,-0.000959303457233665,,,,,,,,,,,,,,,,,,,,,3.4999361038208,3.50028085708618,499.900726318359,499.900726318359,49.1706868877744,5.83431280347604,3.07397270202637,28,1,0,0,1,0.327301025390625,28.3479976654053,1,1,1,3.50028085708618,0,3.50010848045349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973313.58832,3.99999737739563,499.900726318359,0.182030597874877,2.10367308556241E-5,1,2,14.0008964538574,5.00476396126198,34.9799990653992,234.66588295682,35.8378773114293,100,-0.000980951316299254,,,,,,,,,,,,,,,,,,,,,3.9998893737793,4.00010538101196,499.900726318359,499.900726318359,49.189445972236,5.83435975603595,3.25860691070557,28,1,0,0,1,0.327377319335937,27.8592376708984,1,1,1,3.9998893737793,0,3.99999737739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973425.5947,4.50030612945557,499.900726318359,0.185226111227208,1.25896485633517E-5,1,2,14.0008964538574,5.00476975276109,34.9799990653992,238.859727578794,35.9997734245115,1000,-0.00136095768780986,,,,,,,,,,,,,,,,,,,,,4.50030612945557,4.50030612945557,499.900726318359,499.900726318359,49.1820205013033,5.83393456940045,3.40910172462463,28,1,0,0,1,0.326614379882812,28.3479976654053,1,1,1,4.50030612945557,0,4.50030612945557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973531.72761,4.9995551109314,499.900726318359,0.18800574640036,2.27661286324703E-5,1,2,14.0008964538574,5.00476247505408,34.9799990653992,242.449668808231,36.5024387207909,1000,-0.00141049389736384,,,,,,,,,,,,,,,,,,,,,4.9995551109314,4.9995551109314,499.900726318359,499.900726318359,49.1917908577937,5.83424694563561,3.54967093467712,28,1,0,0,1,0.326766967773438,28.8367557525635,1,1,1,4.9995551109314,0,4.9995551109314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973626.03112,5.49986720085144,499.900726318359,0.189252917811232,1.75011199080265E-5,1,2,14.0008964538574,5.00472338558077,34.9799990653992,244.062116889201,36.7013823516784,1000,-0.0014530806467192,,,,,,,,,,,,,,,,,,,,,5.49985694885254,5.49987745285034,499.900726318359,499.900726318359,49.2042969141014,5.83437841319655,3.66666889190674,28,1,0,0,1,0.327072143554687,28.8367557525635,1,1,1,5.49987745285034,0,5.49986720085144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973721.9569,5.99993371963501,499.900726318359,0.188032804853836,1.69001517747091E-5,1,2,14.0008964538574,5.00484425462282,34.9799990653992,242.498284089352,36.4567569581292,1000,-0.00145088659916834,,,,,,,,,,,,,,,,,,,,,5.99967432022095,6.00019311904907,499.900726318359,499.900726318359,49.2171937846687,5.83470961423275,3.76260614395142,28,1,0,0,1,0.327606201171875,28.8367557525635,1,1,1,6.00019311904907,0,5.99993371963501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3932973819.28733,6.49992632865906,499.900726318359,0.183402212048736,1.58992964259929E-5,1,2,14.0008964538574,5.00473697257524,34.9799990653992,236.520578899444,35.5499405845461,1000,-0.00142132827708631,,,,,,,,,,,,,,,,,,,,,6.49961042404175,6.50024223327637,499.900726318359,499.900726318359,49.1968714431687,5.83434331297835,3.8777904510498,28,1,0,0,1,0.327529907226562,28.8367557525635,1,1,1,6.50024223327637,0,6.49992632865906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
