[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933004678.87069,08/16/2024,9:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933004710.83977,1.99976289272308,0.0992063358426094,9.65863710615864E-5,1.66363393428485E-8,1,2,14.0008964538574,4.97928195802227,34.340001642704,0.123686674672207,0.0185189761841834,10,-8.03209290581917E-7,,,,,,,,,,,,,,,,,,,,,1.99976289272308,1.99976289272308,0.0992063358426094,0.0992063358426094,47.2986865842165,5.64860363987252,2.43072962760925,28,1,0,0,1,0.320205688476562,26.881721496582,1,1,1,1.99976289272308,0,1.99976289272308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004730.40878,1.99911093711853,1000.18585205078,0.00125582475364394,1.0006955804049E-7,1,2,14.0008964538574,4.97933219013024,34.340001642704,1.60781602945863,0.243266428001048,10,-8.50612045387845E-6,,,,,,,,,,,,,,,,,,,,,1.99824678897858,1.99997508525848,1000.18585205078,1000.18585205078,47.3322966105435,5.64831558863696,2.42889547348022,28,1,0,0,1,0.320892333984375,26.881721496582,1,1,1,1.99824678897858,0,1.99911093711853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004751.00123,2.00022262334824,1999.98742675781,0.00247811747847479,1.01156791385764E-7,1,2,14.0008964538574,4.97927556836696,34.340001642704,3.17252207306435,0.480843882373037,10,-1.61484915903874E-5,,,,,,,,,,,,,,,,,,,,,1.99998033046722,2.00046491622925,1999.98742675781,1999.98742675781,47.3182272971973,5.64875219974941,2.42869138717651,28,1,0,0,1,0.311508178710937,26.881721496582,1,1,1,2.00046491622925,0,2.00022262334824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004771.58472,2.000259578228,3000.22290039063,0.00365422210360459,3.87600636669977E-7,1,2,14.0008964538574,4.97928650642645,34.340001642704,4.67826058100937,0.708687052331526,10,-2.40983650614695E-5,,,,,,,,,,,,,,,,,,,,,1.99943149089813,2.00108766555786,3000.22290039063,3000.22290039063,47.2560878299185,5.64902129183339,2.43339443206787,28,1,0,0,1,0.320205688476562,27.3704795837402,1,1,1,1.99943149089813,0,2.000259578228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004792.70514,2.00109070539474,4000.32177734375,0.0048120005506089,4.5720072908006E-7,1,2,14.0008964538574,4.97925312492798,34.340001642704,6.16013045214618,0.935109624606131,10,-3.02511163356243E-5,,,,,,,,,,,,,,,,,,,,,1.99908006191254,2.00310134887695,4000.32177734375,4000.32177734375,47.3436302240723,5.64943008290507,2.42917108535767,28,1,0,0,1,0.30487060546875,27.8592376708984,1,1,1,2.00310134887695,0,2.00109070539474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004815.75664,1.99945420026779,5000.44580078125,0.00596438799251916,5.76765349986883E-7,1,2,14.0008964538574,4.97923412277316,34.340001642704,7.63544288206433,1.15833136310492,10,-3.80539944974257E-5,,,,,,,,,,,,,,,,,,,,,1.99891722202301,1.99999117851257,5000.44580078125,5000.44580078125,47.4073329483896,5.64917051316745,2.4256112575531,28,1,0,0,1,0.31951904296875,27.3704795837402,1,1,1,1.99891722202301,0,1.99945420026779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004836.7876,1.99992555379868,6000.43310546875,0.00711720339887336,8.30107043554824E-7,1,2,14.0008964538574,4.97925395292447,34.340001642704,9.11091926197495,1.38460442645294,10,-4.35486073523909E-5,,,,,,,,,,,,,,,,,,,,,1.99924600124359,2.00060510635376,6000.43310546875,6000.43310546875,47.3514465092646,5.64913622524525,2.4306116104126,28,1,0,0,1,0.3204345703125,27.8592376708984,1,1,1,1.99924600124359,0,1.99992555379868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004856.93183,1.99920749664307,7000.49560546875,0.00828259425184609,7.70368549711084E-7,1,2,14.0008964538574,4.97925863799306,34.340001642704,10.6027665666862,1.61141499300648,10,-5.06094511136761E-5,,,,,,,,,,,,,,,,,,,,,1.99891114234924,1.99950385093689,7000.49560546875,7000.49560546875,47.4405521604569,5.64923530811101,2.43126082420349,28,1,0,0,1,0.318756103515625,28.3479976654053,1,1,1,1.99950385093689,0,1.99920749664307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004877.34696,1.99960345029831,8000.29638671875,0.00946918629018361,7.82703794582405E-7,1,2,14.0008964538574,4.9792289815187,34.340001642704,12.1212044911775,1.84509128224633,10,-5.56431605516133E-5,,,,,,,,,,,,,,,,,,,,,1.99947965145111,1.99972724914551,8000.29638671875,8000.29638671875,47.3592627944569,5.64912984309571,2.43044137954712,28,1,0,0,1,0.312728881835937,27.8592376708984,1,1,1,1.99972724914551,0,1.99960345029831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933004898.05151,1.99964600801468,9000.556640625,0.0106862447222646,1.40391124379067E-6,1,2,14.0008964538574,4.97922762694356,34.340001642704,13.6786444192498,2.08522412925332,10,-6.045909170148E-5,,,,,,,,,,,,,,,,,,,,,1.99906814098358,2.00022387504578,9000.556640625,9000.556640625,47.4081145769089,5.64947392517546,2.42011094093323,28,1,0,0,1,0.31982421875,28.8367557525635,1,1,1,2.00022387504578,0,1.99964600801468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
