[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933013998.41581,08/16/2024,11:53 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933014018.44057,1.99958777427673,1000.14868164062,0.00125115457898878,8.95343216164247E-8,1,2,14.0008964538574,4.98892235694215,34.340001642704,1.60616802990801,0.24294433311716,10,-8.52989135128471E-6,,,,,,,,,,,,,,,,,,,,,1.99958777427673,1.99958777427673,1000.14868164062,1000.14868164062,47.2611684152935,5.64978368649968,2.40044617652893,28,1,0,0,1,0.305099487304687,26.3929634094238,1,1,1,1.99958777427673,0,1.99958777427673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014158.57755,3.00031673908234,1000.14868164062,0.00123547051997169,8.57037933232964E-8,1,2,14.0008964538574,4.98893110717589,34.340001642704,1.58612447161212,0.239350021906529,10,-8.85141298585286E-6,,,,,,,,,,,,,,,,,,,,,3.00012969970703,3.00050377845764,1000.14868164062,1000.14868164062,47.3264343966492,5.65024322039323,2.88552236557007,28,1,0,0,1,0.306549072265625,28.3479976654053,1,1,1,3.00012969970703,0,3.00031673908234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014294.49531,3.99984920024872,1000.14868164062,0.00122374699310266,1.31726621772699E-7,1,2,14.0008964538574,4.98887504676085,34.340001642704,1.57107569489379,0.236905453345509,10,-8.89969494890873E-6,,,,,,,,,,,,,,,,,,,,,3.99969553947449,4.00000286102295,1000.14868164062,1000.14868164062,47.3405037099954,5.65013219672259,3.24263858795166,28,1,0,0,1,0.3045654296875,28.8367557525635,1,1,1,4.00000286102295,0,3.99984920024872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014426.78528,5.00003266334534,1000.14868164062,0.00121384895086015,1.334757574286E-7,1,2,14.0008964538574,4.98891796771274,34.340001642704,1.55840603946969,0.234872454367323,10,-8.92102555646444E-6,,,,,,,,,,,,,,,,,,,,,4.99988126754761,5.00018405914307,1000.14868164062,1000.14868164062,47.3057212408896,5.65049787565279,3.53168535232544,28,1,0,0,1,0.315704345703125,28.8367557525635,1,1,1,5.00018405914307,0,5.00003266334534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014556.60165,6.00007438659668,1000.14868164062,0.00120752691141215,8.08078252272121E-8,1,2,14.0008964538574,4.98888520959832,34.340001642704,1.55029358237527,0.233530984039014,10,-8.96505868960685E-6,,,,,,,,,,,,,,,,,,,,,5.99988222122192,6.00026655197144,1000.14868164062,1000.14868164062,47.2783642427165,5.65003260044134,3.7541298866272,28,1,0,0,1,0.312957763671875,28.8367557525635,1,1,1,5.99988222122192,0,6.00007438659668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014685.20602,6.99990916252136,1000.14868164062,0.00120391708551477,7.75799289110342E-8,1,2,14.0008964538574,4.98892454980685,34.340001642704,1.54567736030916,0.232827621605351,10,-8.94434408567585E-6,,,,,,,,,,,,,,,,,,,,,6.99981212615967,7.00000619888306,1000.14868164062,1000.14868164062,47.351055695005,5.65031636344638,3.94723558425903,28,1,0,0,1,0.312423706054687,28.3479976654053,1,1,1,6.99981212615967,0,6.99990916252136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014812.52047,8.00004196166992,1000.14868164062,0.00120265205855262,1.63659549820911E-7,1,2,14.0008964538574,4.98893509030867,34.340001642704,1.5440773560715,0.232460004503214,10,-9.03137553309476E-6,,,,,,,,,,,,,,,,,,,,,8.0000057220459,8.00007820129395,1000.14868164062,1000.14868164062,47.3948268920819,5.65020498867991,4.10245847702026,28,1,0,0,1,0.304489135742188,26.881721496582,1,1,1,8.0000057220459,0,8.00004196166992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933014940.71175,9.00008821487427,1000.14868164062,0.00120557680220039,1.51581031219838E-7,1,2,14.0008964538574,4.9889112540933,34.340001642704,1.54783575139163,0.232937320909402,10,-9.12075259505502E-6,,,,,,,,,,,,,,,,,,,,,8.99997520446777,9.00020122528076,1000.14868164062,1000.14868164062,47.3412853385146,5.65010791013249,4.23491859436035,28,1,0,0,1,0.3057861328125,28.3479976654053,1,1,1,8.99997520446777,0,9.00008821487427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015067.15879,10.0001535415649,1000.14868164062,0.00121142473418641,1.04258076843691E-7,1,2,14.0008964538574,4.98884253968209,34.340001642704,1.55529961791916,0.234153150559498,10,-9.09448136235834E-6,,,,,,,,,,,,,,,,,,,,,10.0001363754272,10.0001707077026,1000.14868164062,1000.14868164062,47.3362047531396,5.64958477152929,4.35185813903809,28,1,0,0,1,0.31402587890625,28.8367557525635,1,1,1,10.0001707077026,0,10.0001535415649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015193.40945,11.0001220703125,1000.14868164062,0.00121971157536607,1.38797418953009E-7,1,2,14.0008964538574,4.98885220148064,34.340001642704,1.56595827764062,0.235659000893006,10,-9.23196958668691E-6,,,,,,,,,,,,,,,,,,,,,10.9999217987061,11.0003223419189,1000.14868164062,1000.14868164062,47.2975141414377,5.65009452481611,4.46773815155029,28,1,0,0,1,0.31463623046875,28.3479976654053,1,1,1,11.0003223419189,0,11.0001220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
